Date	GILD	MDLZ	FISV	HPFK	IRCS	TCMU	XFMM	GVVV	MHDZ	GIHF	NQYU	DUIR	BQYN	PDSZ	BSNG	IKCC	XQXR	HNNY	DLFB	PHBP	HGHJ	JMYS	KQDY	TSII	OJQO	KDOC	FBTB	LGHQ	WAAI	VGYC	OPYH	PMHG	CWZD	DQZO	RLTP	CLYY	PJRF	TUWV	TXHL	OCKA	YWNZ	MXAI	GGZS	OEGR	MRIJ	IAZR	RXKH	FOCE	QUUT	CZHB	KAVI	IPZI	AVGO	CHTR	IDNA	UGUF	QCOM	SBUX	TMUS	COST	EHLW	PEP	HGRW	RLLE	CMCSA	PYPL	VYFU	ADBE	INTC	TZFN	OBDC	AAPL	TSLA	XTXR	MSFT	DRSH	META	YRIG	GOOG	OAAR	TLRC	CWHU	AMZN	YYBM	NFLX	AJLW	NVDA	CSCO	PBGQ	LWMB	XSRP	XTLJ	FATP	YERP	MFOP	ATQP	XWQP	TXN	RKPP	LAFL
2020-01-01	12.00	66.00	41.00	46.00	85.00	34.00	89.00	53.00	79.00	65.00	19.00	44.00	17.00	21.00	100.00	35.00	22.00	26.00	56.00	98.00	48.00	22.00	81.00	51.00	92.00	17.00	13.00	73.00	80.00	70.00	76.00	85.00	77.00	65.00	62.00	55.00	31.00	100.00	65.00	97.00	91.00	56.00	48.00	72.00	21.00	41.00	85.00	73.00	74.00	16.00	83.00	50.00	81.00	99.00	100.00	38.00	54.00	51.00	23.00	75.00	39.00	100.00	18.00	99.00	28.00	21.00	91.00	22.00	95.00	57.00	37.00	30.00	33.00	36.00	80.00	81.00	88.00	13.00	71.00	31.00	92.00	66.00	77.00	66.00	61.00	36.00	42.00	100.00	42.00	88.00	85.00	73.00	23.00	65.00	62.00	32.00	39.00	98.00	40.00	37.00
2020-01-02	12.01	65.62	39.94	46.86	84.52	34.69	87.96	53.48	77.88	64.50	18.99	43.94	17.32	21.19	98.61	34.95	22.24	24.95	55.50	96.93	49.08	21.15	80.18	51.23	94.23	16.50	12.90	72.41	80.86	70.28	73.71	85.73	75.67	66.96	60.66	56.01	30.58	99.25	66.83	98.65	90.23	54.55	48.89	71.05	21.28	40.64	87.55	72.69	72.10	15.64	86.33	50.01	77.70	97.92	99.24	38.81	54.50	50.38	22.47	76.12	39.67	99.53	18.19	99.05	27.39	21.80	90.45	22.25	95.08	59.28	37.81	28.91	32.20	36.29	80.43	80.59	86.99	13.25	71.25	30.78	92.41	66.97	75.97	67.32	62.06	35.48	42.24	102.80	43.50	87.99	87.56	73.78	23.17	66.59	60.62	31.38	39.49	97.05	39.44	36.02
2020-01-03	11.98	65.31	39.44	46.85	84.01	34.38	86.46	53.81	75.99	65.05	19.17	44.16	17.47	21.43	99.63	34.74	22.49	24.76	53.99	96.86	48.08	21.29	80.13	50.89	98.18	16.85	12.91	72.08	83.61	72.33	75.26	89.28	76.97	68.36	61.44	57.54	31.44	99.07	65.19	96.83	82.01	55.92	49.71	68.75	21.53	41.27	88.85	73.47	70.88	15.35	89.95	50.00	77.50	98.39	97.39	39.84	53.74	51.07	22.82	75.96	39.59	94.93	18.11	101.08	26.48	21.51	87.35	22.83	97.51	60.55	37.47	28.82	32.73	35.89	79.91	80.24	86.02	13.14	71.41	30.86	94.30	69.56	75.94	66.00	63.39	35.78	42.41	102.41	43.69	88.46	86.26	73.15	22.67	66.82	59.04	31.80	38.99	96.82	38.95	37.14
2020-01-04	12.05	65.34	38.68	48.95	84.18	35.53	86.57	53.72	74.86	63.87	19.06	43.64	17.13	21.40	100.82	34.80	22.32	23.99	56.11	96.46	47.54	20.80	80.69	50.82	102.12	16.41	12.59	71.78	81.74	71.63	75.26	92.56	73.74	68.68	62.27	57.21	31.35	100.99	66.70	97.97	80.84	55.30	50.61	68.47	21.53	41.79	87.89	73.46	70.34	15.04	89.14	49.29	78.79	98.53	96.24	39.50	53.69	51.55	23.11	74.94	39.14	94.67	18.04	102.79	27.36	20.98	87.74	23.22	96.57	60.75	36.23	29.48	33.18	35.66	79.63	80.59	86.63	12.77	72.16	30.39	95.79	71.33	76.40	66.69	63.38	35.16	43.04	102.79	42.22	87.02	83.62	73.14	22.51	67.67	59.60	31.95	39.76	97.43	40.00	37.11
2020-01-05	12.13	64.75	37.73	50.22	84.74	36.56	87.60	54.06	74.98	63.73	19.29	43.89	17.48	21.22	100.60	34.77	22.57	23.69	56.72	97.43	48.92	21.24	81.82	50.13	101.30	15.93	12.25	71.72	82.29	74.20	76.89	88.41	72.17	67.15	63.29	56.95	30.25	101.92	67.54	99.05	80.46	53.86	50.04	68.87	21.21	41.16	90.35	72.64	71.91	14.77	86.65	50.24	81.06	100.28	96.12	39.72	52.91	52.54	23.09	73.56	39.64	93.40	18.19	100.80	27.24	21.33	91.03	23.06	99.11	62.79	35.17	29.84	31.85	35.47	80.36	81.66	87.29	12.49	72.38	31.06	99.06	72.15	76.37	65.94	64.50	34.95	42.54	106.87	40.43	88.11	84.11	73.83	23.00	68.39	61.59	32.61	39.03	98.03	38.76	36.42
2020-01-06	12.15	64.92	36.43	48.53	75.84	37.06	87.51	54.54	73.76	63.19	19.13	44.23	17.72	21.09	101.91	35.32	22.41	23.11	55.05	98.27	47.05	21.59	82.41	50.22	97.93	15.90	12.03	71.39	81.74	73.74	78.57	88.24	75.13	66.81	64.56	56.16	29.44	103.37	66.86	99.54	80.95	53.14	50.29	66.30	21.45	41.65	92.15	73.49	72.07	15.14	85.03	51.72	84.08	98.47	97.92	40.25	53.43	53.15	22.43	75.62	39.59	97.11	18.25	100.50	26.62	21.79	93.49	22.67	101.15	62.52	34.15	29.47	30.82	35.17	80.81	80.52	86.10	12.67	73.39	30.56	94.98	69.78	76.61	66.72	62.82	34.80	42.55	111.90	41.26	89.20	86.75	74.68	22.57	67.93	63.76	31.65	40.14	99.17	39.03	37.73
2020-01-07	12.23	65.00	35.58	49.16	75.87	35.98	87.52	53.96	74.97	64.03	19.00	44.25	18.16	20.98	101.13	36.36	22.40	22.39	57.48	97.12	45.04	20.94	82.22	50.51	94.05	15.80	11.84	71.57	82.99	74.94	76.96	85.56	71.49	64.54	64.23	54.99	30.39	105.96	69.26	100.06	79.93	53.55	50.73	64.14	21.32	41.16	90.82	72.66	71.83	14.74	85.28	51.53	83.01	99.73	98.14	39.22	52.73	52.43	22.48	76.52	40.08	95.73	18.07	99.85	26.82	20.77	96.35	22.18	101.22	64.21	33.57	29.18	30.18	35.10	80.32	80.34	85.33	12.43	73.82	30.73	93.76	68.64	77.77	67.98	62.42	34.18	42.28	110.58	39.85	87.75	87.87	75.87	22.49	68.54	63.05	31.07	40.24	99.29	39.88	38.93
2020-01-08	12.42	64.21	34.36	49.47	75.68	36.63	88.42	54.29	72.81	64.04	19.04	44.36	18.14	20.82	101.61	36.04	22.18	21.63	55.42	98.64	46.91	20.69	83.49	50.96	93.20	15.85	11.80	71.39	85.85	77.21	75.27	87.47	67.93	62.18	65.30	54.51	30.84	103.35	70.19	101.34	80.32	53.36	51.69	64.06	21.67	41.03	88.99	72.99	74.15	15.20	85.99	50.44	82.10	101.28	96.99	38.51	54.09	52.09	22.07	77.05	40.91	92.16	18.40	99.70	27.82	21.20	94.94	22.47	102.04	64.91	33.56	29.84	29.24	35.04	80.01	79.11	84.46	12.75	74.27	30.47	94.03	70.96	78.12	66.72	63.17	33.50	41.74	114.55	39.78	87.64	87.95	76.72	22.46	67.34	64.73	31.22	41.37	100.26	40.22	38.40
2020-01-09	12.62	63.67	34.83	49.01	76.16	35.71	87.27	53.84	70.73	65.25	18.94	43.75	17.85	20.71	100.05	35.81	22.11	21.84	57.25	98.41	45.50	20.22	84.23	51.71	94.93	15.91	11.84	71.30	87.54	78.02	76.64	85.94	67.68	64.89	63.86	55.80	30.13	102.59	68.57	99.60	81.26	52.82	52.70	63.31	21.28	41.61	87.70	73.72	75.87	15.62	85.17	48.97	81.57	101.76	99.19	39.05	54.86	52.13	21.84	77.50	40.83	95.78	18.51	100.50	28.23	20.27	97.21	22.92	99.63	64.31	34.17	29.38	28.89	34.78	80.59	79.92	83.70	12.93	73.38	29.74	97.65	72.48	79.32	67.18	61.62	34.00	41.35	112.58	39.32	88.00	86.57	75.59	22.20	66.00	63.46	30.26	40.70	101.03	40.69	37.62
2020-01-10	12.81	63.77	34.34	47.59	75.79	36.08	86.68	54.27	70.12	64.88	18.93	44.25	18.16	20.85	100.69	36.25	22.15	22.38	58.96	98.71	44.62	21.06	83.19	50.83	95.97	16.39	11.72	70.21	90.96	76.21	77.80	84.60	67.07	63.96	64.14	57.07	30.43	103.81	68.52	99.61	81.24	53.53	52.39	61.10	21.52	41.41	88.12	72.90	72.86	15.38	85.77	49.86	81.29	100.23	98.84	38.31	55.19	53.11	21.94	76.10	41.05	99.06	18.37	101.54	28.37	20.94	100.41	23.18	96.94	62.92	34.01	29.90	28.97	34.60	79.63	79.89	84.20	13.08	72.49	30.04	98.26	69.45	80.89	66.06	62.86	34.10	41.70	113.71	39.43	88.35	85.82	75.74	22.16	65.62	65.53	31.36	41.74	100.67	41.96	37.63
